smiles,density,hof,density_score,hof_score,density_ood,density_train,density_iid,hof_ood,hof_train,hof_iid
CC(C)OC(=O)c1ccc(cc1)N(=O)=O,1.3676331520978,-109.98534641233,8.210920771976424,1.0026508149556943,0,1,0,0,0,1
CCc1ccc(cc1)C=C(COc1ccccc1C=NO)C(=O)OC,1.2926180397948,-100.96261079009,6.583657479355502,1.003693406784131,0,1,0,0,1,0
CC(C)(C)c1ccc(O)c(C=NO)c1,1.2279930724017,-55.199617879115,4.4427289696519825,1.0052990643561746,0,1,0,0,1,0
Cc1ccccc1NN=C(C)c1cccc(c1)N(=O)=O,1.3167548217022,34.675794434549,7.314954168485054,1.0027447149807516,0,1,0,0,1,0
CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O,1.4062073001451,49.41149979423,8.056642020382764,1.0035997492872983,0,1,0,0,0,1
CC(C)(C)c1cc(C=NO)c(O)c(c1)C(C)(C)C,1.1837577052164,-82.910878841917,3.2510929757098967,1.0032601937128622,1,0,0,0,1,0
CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,1.3637752146382,-60.801345113712,8.184420718261142,1.004553034843264,0,1,0,0,0,1
COc1cc(cc(C=NO)c1O)C(C)(C)C,1.2534428462974,-87.515982635071,5.263041468047798,1.0032325352991969,0,1,0,0,1,0
CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1,1.1831116655801,-76.470238370278,3.2362718978601674,1.004573736491799,1,0,0,0,1,0
CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,1.289737636509,-83.044196862587,6.489347109745337,1.003376352702294,0,1,0,0,1,0
O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O,1.8081413154367,-5.8058943690066,1.2647232860196627,1.0044967874228043,1,0,0,0,1,0
CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1,1.3435214896366,-15.911267546427,7.925241730735097,1.0052132836311405,0,0,1,0,1,0
COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O,1.6428548212403,-136.09344722388,2.267119461362314,1.0019969534718058,1,0,0,0,1,0
OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O,1.55968619717,-134.9678912977,3.772461526221431,1.0032472212990025,0,1,0,0,1,0
CC1C(CCc2ccccc2)OC(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1.5018815214808,-265.79273274986,5.447412389819431,1.0005123285288173,0,1,0,1,0,0
O=C(Cc1ccccc1)ON=C(C(=O)NC1CCCCC1)c1ccccc1,1.2781540413185,-95.23437641746,6.101715268738651,1.0033940480631975,0,1,0,0,1,0
CC(C)C=C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)N(C)C,1.4116143044241,-111.1128049822,7.976830671243702,1.0025097930262943,0,1,0,0,1,0
