smiles,hof_s
CC(C)OC(=O)c1ccc(cc1)N(=O)=O,-109.98534641233
CCc1ccc(cc1)C=C(COc1ccccc1C=NO)C(=O)OC,-100.96261079009
CC(C)(C)c1ccc(O)c(C=NO)c1,-55.199617879115
Cc1ccccc1NN=C(C)c1cccc(c1)N(=O)=O,34.675794434549
CN(C)c1ccc(cc1)C(=C(C#N)C#N)C(c1ccc(cc1)N(=O)=O)=C1C(=O)c2ccccc2C1=O,49.41149979423
CC(C)(C)c1cc(C=NO)c(O)c(c1)C(C)(C)C,-82.910878841917
CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,-60.801345113712
COc1cc(cc(C=NO)c1O)C(C)(C)C,-87.515982635071
CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1,-76.470238370278
CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O,-83.044196862587
O=C1NC2C(N(CN2N(=O)=O)N(=O)=O)N1N(=O)=O,-5.8058943690066
CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1,-15.911267546427
COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O,-136.09344722388
OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O,-134.9678912977
CC1C(CCc2ccccc2)OC(COC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-265.79273274986
O=C(Cc1ccccc1)ON=C(C(=O)NC1CCCCC1)c1ccccc1,-95.23437641746
CC(C)C=C(NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)N(C)C,-111.1128049822
CCOC(=O)C(C1C(CN(CC2CCCCC2)C1=O)C(ON1N=Nc2ccccc12)c1cccc(c1)N(=O)=O)C(=O)OCC,-254.64710576211
COc1ccc(cc1C1C(C(ON1c1ccccc1)c1ccc(C)cc1)C(=O)c1ccccc1)C(C)(C)c1ccccc1,-53.685199601133
