smiles,gap
C,0.5048
N,0.3399
O,0.3615
C#C,0.3351
C#N,0.3796
C=O,0.2263
CC,0.4426
CO,0.3437
CC#C,0.3222
CC#N,0.364
CC=O,0.2342
NC=O,0.2845
CCC,0.4179
CCO,0.3417
COC,0.3435
C1CC1,0.393
C1CO1,0.3724
CC(C)=O,0.2344
CC(N)=O,0.2783
NC(N)=O,0.3051
CC(C)C,0.401
CC(C)O,0.3351
C#CC#C,0.2386
C#CC#N,0.2559
N#CC#N,0.277
O=CC#C,0.2042
O=CC#N,0.2066
O=CC=O,0.1555
CC#CC,0.3096
CCC#C,0.3157
CCC#N,0.3553
NCC#N,0.2855
OCC#C,0.2872
OCC#N,0.3039
CCC=O,0.2295
CNC=O,0.2851
COC=O,0.2888
OCC=O,0.2196
CCCC,0.4107
CCCO,0.3429
CCOC,0.3428
OCCO,0.3179
CC1CC1,0.3738
CC1CO1,0.3685
CN1CC1,0.3271
OC1CC1,0.3166
C1CCC1,0.3938
C1COC1,0.3283
CC(C)=NO,0.2584
N1C=CC=C1,0.2528
N1C=CN=C1,0.2585
O1C=CC=C1,0.2445
O1C=CN=C1,0.2519
CC(C)(C)C,0.3882
CC(C)(C)O,0.3265
CC(=O)C#C,0.2079
CC(=O)C#N,0.2118
NC(=N)C#N,0.2301
NC(=O)C#C,0.2352
CC(=O)C=O,0.1574
NC(=N)C=O,0.192
NC(=O)C=O,0.177
CC(C)C#C,0.316
CC(C)C#N,0.3545
CC(N)C#N,0.2983
CC(O)C#C,0.3001
CC(O)C#N,0.3166
CC(C)C=O,0.2281
CC(O)C=O,0.2271
CN(C)C=O,0.2751
CC(=O)CO,0.2437
CCC(C)=O,0.2351
CCC(N)=O,0.2793
CNC(C)=O,0.2805
CNC(N)=O,0.3034
COC(C)=N,0.2948
COC(C)=O,0.2859
COC(N)=O,0.3244
NC(=O)CO,0.2733
[NH3+]CC([O-])=O,0.2735
CC(C)CO,0.3418
CC(O)CO,0.3228
CCC(C)C,0.3934
CCC(C)O,0.335
COC(C)C,0.3336
CC1(C)CC1,0.3526
CC1(C)CO1,0.3505
CC1(O)CC1,0.327
N=C1CCO1,0.2907
O=C1CCC1,0.2222
O=C1CCN1,0.288
O=C1CCO1,0.2878
O=C1CNC1,0.2179
O=C1COC1,0.2295
CC1CCC1,0.3823
CC1CCO1,0.3325
CC1COC1,0.3233
OC1CCC1,0.3361
OC1COC1,0.3069
CC1CC1C,0.3573
CC1CC1O,0.334
CC1CN1C,0.313
CC1OC1C,0.3557
OC1CC1O,0.3011
C1C2CC1C2,0.4056
C1C2CC1O2,0.3346
C#CCC#C,0.2978
C#CCC#N,0.3022
N#CCC#N,0.3344
O=CCC#C,0.2245
O=CCC#N,0.23
N=CNC=O,0.2276
N=COC=O,0.2636
O=CNC=O,0.2191
CC#CC#C,0.2335
CC#CC#N,0.2494
CC#CC=O,0.2051
CC#CCO,0.2789
CCC#CC,0.3033
COC=NC,0.2732
CCCC#C,0.3169
CCCC#N,0.355
CNCC#N,0.2698
COCC#C,0.2889
COCC#N,0.2939
OCCC#C,0.3174
OCCC#N,0.3237
CCCC=O,0.2292
CCNC=O,0.2834
CCOC=O,0.2868
COCC=O,0.2295
OCCC=O,0.225
CCCCC,0.403
CCCCO,0.3428
CCCOC,0.3426
CCOCC,0.3414
COCCO,0.3431
OCCCO,0.3386
C#CC1CC1,0.2928
C#CC1CN1,0.2744
C#CC1CO1,0.2839
N#CC1CC1,0.322
N#CC1CN1,0.2851
N#CC1CO1,0.3004
O=CC1CC1,0.2329
O=CC1CN1,0.2258
O=CC1CO1,0.2217
O=CN1CC1,0.2542
CCC1CC1,0.3709
CCC1CO1,0.3599
CCN1CC1,0.3249
COC1CC1,0.3395
OCC1CC1,0.339
OCC1CN1,0.3113
OCC1CO1,0.3418
C1CC=CC1,0.2661
C1CN=CO1,0.272
C1OCC=C1,0.2491
C1CCCC1,0.3922
C1CCOC1,0.3304
C1COCO1,0.3437
C1C2CCC12,0.3506
C1C2COC12,0.319
C1CC2OC12,0.3468
N1C=CC=N1,0.2677
N1C=CN=N1,0.2618
N1C=NC=N1,0.2764
N1C=NN=C1,0.2715
N1N=CC=N1,0.2687
O1C=CC=N1,0.2538
O1C=CN=N1,0.2422
O1C=NC=N1,0.2719
O1C=NN=C1,0.2711
O1C=NN=N1,0.2667
O1N=CC=N1,0.2698
O1N=CN=N1,0.2563
O1N=NN=N1,0.2598
CC(=NO)C#C,0.2068
CC(CO)=NO,0.2567
CCC(C)=NO,0.2562
ON=C1CCC1,0.2479
ON=C1CNC1,0.2326
ON=C1COC1,0.2452
FC(F)(F)F,0.6221
N=C1NC=CO1,0.2235
N=C1OC=CO1,0.238
O=C1NC=CN1,0.2357
O=C1NC=CO1,0.2422
O=C1OC=CO1,0.2556
CC1=CC=CN1,0.243
CC1=CC=CO1,0.2363
CC1=CN=CO1,0.243
CC1=NC=CO1,0.2453
NC1=CC=CN1,0.2406
NC1=CC=CO1,0.2241
NC1=CN=CO1,0.2251
NC1=NC=CO1,0.2373
OC1=CC=CN1,0.2449
OC1=CN=CN1,0.247
OC1=NC=CN1,0.2555
CC1=CNC=C1,0.2515
CC1=CNC=N1,0.2533
CC1=COC=C1,0.2434
CC1=COC=N1,0.2468
NC1=CNC=C1,0.2299
NC1=CNC=N1,0.2241
NC1=COC=C1,0.2237
NC1=COC=N1,0.2164
OC1=CNC=C1,0.2364
OC1=CNC=N1,0.2321
OC1=COC=N1,0.2252
CN1C=CC=C1,0.2469
CN1C=CN=C1,0.2541
C1=CC=CC=C1,0.2503
C1=CC=NC=C1,0.2293
C1=CN=CC=N1,0.1982
C1=CN=CN=C1,0.2116
C1=NC=NC=N1,0.2214
CC(C)(C)C#C,0.3214
CC(C)(C)C#N,0.3594
CC(C)(N)C#N,0.3024
CC(C)(O)C#C,0.3014
CC(C)(O)C#N,0.3148
CC(C)(C)C=O,0.2291
CC(C)(O)C=O,0.2265
CC(C)(C)CO,0.3363
CC(C)(O)CO,0.3346
CCC(C)(C)C,0.378
CCC(C)(C)O,0.3259
COC(C)(C)C,0.3245
CC#CC(C)=O,0.2082
CC#CC(N)=O,0.2342
CC#CC(C)C,0.3036
CC#CC(C)O,0.2908
CC(=O)CC#C,0.2275
CC(=O)CC#N,0.237
NC(=O)CC#C,0.2742
NC(=O)CC#N,0.2792
CC(=N)NC=O,0.2434
CC(=N)OC=O,0.2472
CC(=O)CC=O,0.2124
CC(=O)NC=N,0.2283
CC(=O)NC=O,0.2213
CC(=O)OC=N,0.2533
NC(=N)NC=O,0.2189
NC(=O)CC=O,0.2223
NC(=O)NC=N,0.2484
NC(=O)NC=O,0.242
NC(=O)OC=N,0.2767
CC(C)CC#C,0.3143
CC(C)CC#N,0.3507
CC(O)CC#C,0.3167
CC(O)CC#N,0.3214
CN(C)CC#N,0.2588
CC(C)CC=O,0.2284
CC(C)NC=O,0.2832
CC(C)OC=O,0.2863
CC(O)CC=O,0.2232
CN(C)CC=O,0.2016
CC(=O)CCO,0.2348
CCCC(C)=O,0.2345
CCCC(N)=O,0.2789
CCNC(C)=O,0.2783
CCNC(N)=O,0.3025
CCOC(C)=O,0.285
CCOC(N)=O,0.3235
C[NH2+]CC([O-])=O,0.2691
COCC(C)=O,0.2347
COCC(N)=O,0.2738
NC(=O)CCO,0.2798
[NH3+]CCC([O-])=O,0.1338
CC(C)CCO,0.342
CC(O)CCO,0.3302
CCCC(C)C,0.3901
CCCC(C)O,0.3352
CCOC(C)C,0.3333
COCC(C)C,0.3384
COCC(C)O,0.3359
CC(=O)C(C)=O,0.1582
CC(=O)C(N)=N,0.1968
CC(=O)C(N)=O,0.1784
NC(=[NH2+])C([O-])=O,0.1973
NC(=O)C(N)=O,0.21
CC(C)C(C)=O,0.2308
CC(C)C(N)=O,0.278
CC([NH3+])C([O-])=O,0.2683
CC(O)C(C)=O,0.2371
CC(O)C(N)=O,0.2786
CN(C)C(C)=O,0.2696
CN(C)C(N)=O,0.2909
CC(C)C(C)C,0.3838
CC(C)C(C)O,0.3297
CC(O)C(C)O,0.3208
CC1(C)CCC1,0.3649
CC1(C)CCO1,0.3205
CC1(C)COC1,0.3154
CC1(O)CCC1,0.3269
CC1(O)COC1,0.3076
CC1(C)CC1O,0.3327
CC1(O)CC1O,0.3221
CC1CC1(C)C,0.3445
CC1CC1(C)O,0.3256
CC1OC1(C)C,0.3468
CN1CC1(C)C,0.3063
CC1CC(=N)O1,0.2903
CC1CC(=O)C1,0.2231
CC1CC(=O)N1,0.2852
CC1CC(=O)O1,0.2861
CN1CC(=O)C1,0.2071
OC1CC(=O)C1,0.2214
CC1CC(C)C1,0.3739
CC1CC(C)O1,0.3341
CC1CC(O)C1,0.3318
CN1CC(O)C1,0.3034
OC1CC(O)C1,0.3216
CC12CC(C1)C2,0.3917
CC12CC(C1)O2,0.3319
CC12CN(C1)C2,0.3091
OC12CC(C1)C2,0.3397
OC12CN(C1)C2,0.3126
O=C(C#C)C#C,0.1902
O=C(C#C)C#N,0.1947
O=C(C#N)C#N,0.1977
O=CC(=O)C#C,0.1491
O=CC(=O)C#N,0.1475
O=CC(=O)C=O,0.1151
CC(C#C)C#C,0.2962
CC(C#C)C#N,0.2995
CC(C#N)C#N,0.3304
NC(C#C)C#N,0.2768
NC(C#N)C#N,0.2758
OC(C#C)C#C,0.2747
OC(C#C)C#N,0.2821
OC(C#N)C#N,0.3
CC(C=O)C#C,0.2213
CC(C=O)C#N,0.2256
OC(C=O)C#C,0.2216
OC(C=O)C#N,0.234
CC(C=O)C=O,0.1986
CN(C=N)C=O,0.2424
CN(C=O)C=O,0.2374
OC(C=O)C=O,0.1986
CN=C(N)C#N,0.2223
CN=C(N)C=O,0.187
CCC(=O)C#C,0.2087
CCC(=O)C#N,0.2122
CNC(=N)C#N,0.2121
CNC(=O)C#C,0.2349
COC(=O)C#C,0.2382
COC(=O)C#N,0.248
OCC(=O)C#C,0.2088
OCC(=O)C#N,0.2122
CCC(=O)C=O,0.1571
CNC(=N)C=O,0.1707
CNC(=O)C=O,0.178
COC(=O)C=O,0.1821
OCC(=O)C=O,0.1563
CCC(=O)CC,0.2356
CCC(=O)CO,0.2356
CCC(=O)NC,0.28
CCC(=O)OC,0.2871
CNC(=O)CO,0.2707
CNC(=O)NC,0.3052
CNC(=O)OC,0.3158
COC(=O)CN,0.2616
COC(=O)CO,0.2737
OCC(=O)CO,0.2348
COC(C)=NC,0.2761
CC(CO)C#C,0.3166
CC(CO)C#N,0.3246
CCC(C)C#C,0.3157
CCC(C)C#N,0.3527
CCC(N)C#N,0.298
CCC(O)C#C,0.2982
CCC(O)C#N,0.3145
CNC(C)C#N,0.2711
COC(C)C#C,0.2933
COC(C)C#N,0.3042
NC(CO)C#N,0.2834
NCC(N)C#N,0.28
NCC(O)C#N,0.2627
OCC(O)C#C,0.2813
OCC(O)C#N,0.2839
CC(CO)C=O,0.2304
CCC(C)C=O,0.227
CCC(O)C=O,0.2365
CCN(C)C=O,0.2735
COC(C)C=O,0.2269
OCC(O)C=O,0.2186
CC(CO)CO,0.3342
CCC(C)CC,0.3874
CCC(C)CO,0.3408
CCC(C)OC,0.3341
CCC(O)CC,0.3342
CCC(O)CO,0.3178
COC(C)CO,0.3335
OCC(O)CO,0.3096
CC1(CC1)C#C,0.2972
CC1(CC1)C#N,0.3224
CC1(CN1)C#C,0.2885
CC1(CN1)C#N,0.2969
CC1(CO1)C#C,0.2879
CC1(CO1)C#N,0.3038
NC1(CC1)C#N,0.3012
OC1(CC1)C#C,0.2774
OC1(CC1)C#N,0.2964
CC1(CC1)C=O,0.2341
CC1(CN1)C=O,0.2249
CC1(CO1)C=O,0.2218
OC1(CC1)C=O,0.2204
CC1(CO)CC1,0.3373
CC1(CO)CN1,0.3186
CC1(CO)CO1,0.3421
CCC1(C)CC1,0.3486
CCC1(C)CO1,0.3465
CCC1(O)CC1,0.3242
COC1(C)CC1,0.3348
OCC1(O)CC1,0.306
CC1CCC1=O,0.2211
CC1CNC1=O,0.2825
CC1COC1=N,0.2899
CC1COC1=O,0.2825
CC1NCC1=O,0.2182
CC1OCC1=O,0.2252
CN1CCC1=O,0.2809
NC1COC1=N,0.2687
NC1COC1=O,0.2493
OC1CCC1=O,0.2226
OC1CNC1=O,0.2679
OC1COC1=N,0.284
OC1COC1=O,0.2616
CC1CCC1C,0.3663
CC1CCC1O,0.3274
CC1COC1C,0.3248
CC1OCC1O,0.3069
OC1CCC1O,0.3067
N=C1CN=CN1,0.2275
O=C1CC=CC1,0.2245
O=C1CC=CN1,0.2152
O=C1CN=CN1,0.2318
O=C1CN=CO1,0.2478
N=C1OCC=C1,0.216
O=C1CCC=C1,0.1938
O=C1NCC=C1,0.2166
N=C1CCCO1,0.2866
N=C1COCO1,0.2907
N=C1OCCO1,0.3105
O=C1CCCC1,0.2226
O=C1CCCN1,0.2747
O=C1CCCO1,0.2795
O=C1CCOC1,0.2186
O=C1COCO1,0.2772
O=C1NCCN1,0.3086
O=C1NCCO1,0.3152
O=C1OCCO1,0.3336
CC1=CCCC1,0.2608
CC1=CCOC1,0.2501
CC1=NCCO1,0.2718
CC1CC=CC1,0.2648
CC1CN=CO1,0.2721
OC1CC=CC1,0.267
CC1CCC=C1,0.2642
CC1COC=N1,0.2712
CC1OCC=C1,0.2484
OC1CCC=C1,0.2633
CC1CCCC1,0.3872
CC1CCCO1,0.3246
CC1CCOC1,0.322
CC1COCO1,0.3406
CC1OCCO1,0.3439
OC1CCCC1,0.3338
OC1CCOC1,0.314
CC1C(C)C1C,0.3412
CC1C(C)C1O,0.3165
CC1C(C)N1C,0.293
CC1C(O)C1O,0.2838
OC1C(O)C1O,0.3058
CC12CC1CC2,0.338
CC12CC1CO2,0.3155
CC12CC1OC2,0.3098
CC12CCC1O2,0.3397
OC12CC1CC2,0.3309
OC12CC1OC2,0.3024
C#CC#CC#C,0.19
C#CC#CC#N,0.199
N#CC#CC#N,0.2113
C#CCCC#C,0.3006
C#CCCC#N,0.3014
N#CCCC#N,0.3384
O=CC#CC#C,0.1828
O=CC#CC#N,0.1843
O=CC#CC=O,0.1966
N=COCC#C,0.2834
N=COCC#N,0.2828
O=CCCC#C,0.2247
O=CCCC#N,0.2276
O=CNCC#C,0.2752
O=CNCC#N,0.2772
O=COCC#C,0.2768
O=COCC#N,0.2797
N=COCC=O,0.2165
O=CCCC=O,0.2193
O=CCNC=O,0.2203
O=CCOC=O,0.226
CC#CC#CC,0.2291
CC#CCC#C,0.2901
CC#CCC#N,0.2899
CC#CCC=O,0.2194
CN=CNC=O,0.2236
CN=COC=O,0.2532
CCC#CC#C,0.2313
CCC#CC#N,0.2468
OCC#CC#C,0.2202
OCC#CC#N,0.2323
CCC#CC=O,0.2053
OCC#CC=O,0.2057
CCC#CCC,0.2979
CCC#CCO,0.279
OCC#CCO,0.2807
CCN=COC,0.2729
CC#CCCO,0.305
CCCC#CC,0.3043
COCC#CC,0.2837
CCOC=NC,0.2729
CCCCC#C,0.3166
CCCCC#N,0.354
CCNCC#N,0.2706
CCOCC#C,0.2893
CCOCC#N,0.2934
COCCC#C,0.3131
COCCC#N,0.3075
OCCCC#C,0.3158
OCCCC#N,0.3174
CCCCC=O,0.2292
CCCNC=O,0.2832
CCCOC=O,0.2866
CCOCC=O,0.2294
COCCC=O,0.2285
OCCCC=O,0.2303
OCCNC=O,0.2828
OCCOC=N,0.2847
OCCOC=O,0.2843
CCCCCC,0.3957
CCCCCO,0.3427
CCCCOC,0.3409
CCCOCC,0.3409
CCOCCO,0.3431
COCCCO,0.3295
COCCOC,0.336
OCCCCO,0.3388
C#CC1CCC1,0.3045
C#CC1CCO1,0.274
C#CC1COC1,0.2907
N#CC1CCC1,0.3367
N#CC1CCN1,0.267
N#CC1CCO1,0.2783
N#CC1COC1,0.2867
O=CC1CCC1,0.2229
O=CC1CCO1,0.2129
O=CC1COC1,0.2215
O=CN1CCC1,0.2661
CN=C1CCO1,0.28
CCC1CCC1,0.3752
CCC1CCO1,0.3276
CCC1COC1,0.3194
COC1CCC1,0.3316
COC1COC1,0.3167
OCC1CCC1,0.3388
OCC1CCO1,0.3174
OCC1COC1,0.3118
C#CCC1CC1,0.314
C#CCC1CO1,0.3095
C#CCN1CC1,0.2771
N#CCC1CC1,0.3375
N#CCC1CN1,0.2878
N#CCC1CO1,0.3149
N#CCN1CC1,0.281
N=COC1CC1,0.2799
O=CCC1CC1,0.2258
O=CCC1CN1,0.2221
