smiles,homo
C,-0.3877
N,-0.257
O,-0.2928
C#C,-0.2845
C#N,-0.3604
C=O,-0.267
CC,-0.3385
CO,-0.2653
CC#C,-0.2609
CC#N,-0.3264
CC=O,-0.254
NC=O,-0.2543
CCC,-0.323
CCO,-0.2619
COC,-0.2525
C1CC1,-0.2888
C1CO1,-0.2682
CC(C)=O,-0.2431
CC(N)=O,-0.2436
NC(N)=O,-0.2495
CC(C)C,-0.3167
CC(C)O,-0.2612
C#CC#C,-0.2599
C#CC#N,-0.3102
N#CC#N,-0.3696
O=CC#C,-0.2777
O=CC#N,-0.3166
O=CC=O,-0.2668
CC#CC,-0.2412
CCC#C,-0.2592
CCC#N,-0.3213
NCC#N,-0.2683
OCC#C,-0.2595
OCC#N,-0.3018
CCC=O,-0.25
CNC=O,-0.2516
COC=O,-0.2814
OCC=O,-0.2537
CCCC,-0.317
CCCO,-0.2619
CCOC,-0.2503
OCCO,-0.2594
CC1CC1,-0.2727
CC1CO1,-0.2633
CN1CC1,-0.2304
OC1CC1,-0.239
C1CCC1,-0.2982
C1COC1,-0.2424
CC(C)=NO,-0.2392
N1C=CC=C1,-0.2029
N1C=CN=C1,-0.2253
O1C=CC=C1,-0.2246
O1C=CN=C1,-0.2509
CC(C)(C)C,-0.3145
CC(C)(C)O,-0.2601
CC(=O)C#C,-0.2654
CC(=O)C#N,-0.3007
NC(=N)C#N,-0.2739
NC(=O)C#C,-0.2629
CC(=O)C=O,-0.2538
NC(=N)C=O,-0.2561
NC(=O)C=O,-0.2533
CC(C)C#C,-0.2589
CC(C)C#N,-0.318
CC(N)C#N,-0.2704
CC(O)C#C,-0.2665
CC(O)C#N,-0.3051
CC(C)C=O,-0.2469
CC(O)C=O,-0.255
CN(C)C=O,-0.2424
CC(=O)CO,-0.2699
CCC(C)=O,-0.2423
CCC(N)=O,-0.2438
CNC(C)=O,-0.2418
CNC(N)=O,-0.2436
COC(C)=N,-0.2595
COC(C)=O,-0.2685
COC(N)=O,-0.2669
