smiles,lumo
C,0.1171
N,0.0829
O,0.0687
C#C,0.0506
C#N,0.0191
C=O,-0.0406
CC,0.1041
CO,0.0784
CC#C,0.0613
CC#N,0.0376
CC=O,-0.0198
NC=O,0.0302
CCC,0.0949
CCO,0.0798
COC,0.091
C1CC1,0.1042
C1CO1,0.1042
CC(C)=O,-0.0087
CC(N)=O,0.0347
NC(N)=O,0.0556
CC(C)C,0.0843
CC(C)O,0.074
C#CC#C,-0.0214
C#CC#N,-0.0543
N#CC#N,-0.0926
O=CC#C,-0.0735
O=CC#N,-0.11
O=CC=O,-0.1113
CC#CC,0.0684
CCC#C,0.0566
CCC#N,0.034
NCC#N,0.0173
OCC#C,0.0277
OCC#N,0.0022
CCC=O,-0.0205
CNC=O,0.0335
COC=O,0.0074
OCC=O,-0.0341
CCCC,0.0937
CCCO,0.081
CCOC,0.0925
OCCO,0.0584
CC1CC1,0.1012
CC1CO1,0.1052
CN1CC1,0.0968
OC1CC1,0.0775
C1CCC1,0.0956
C1COC1,0.0859
CC(C)=NO,0.0192
N1C=CC=C1,0.0499
N1C=CN=C1,0.0332
O1C=CC=C1,0.0199
O1C=CN=C1,0.001
CC(C)(C)C,0.0737
CC(C)(C)O,0.0664
CC(=O)C#C,-0.0575
CC(=O)C#N,-0.0889
NC(=N)C#N,-0.0438
NC(=O)C#C,-0.0277
CC(=O)C=O,-0.0964
NC(=N)C=O,-0.064
NC(=O)C=O,-0.0763
CC(C)C#C,0.0571
CC(C)C#N,0.0365
CC(N)C#N,0.0278
CC(O)C#C,0.0336
CC(O)C#N,0.0115
CC(C)C=O,-0.0188
CC(O)C=O,-0.0279
CN(C)C=O,0.0327
CC(=O)CO,-0.0262
CCC(C)=O,-0.0072
CCC(N)=O,0.0355
CNC(C)=O,0.0387
CNC(N)=O,0.0599
COC(C)=N,0.0352
COC(C)=O,0.0174
COC(N)=O,0.0575
NC(=O)CO,0.0273
[NH3+]CC([O-])=O,0.0208
CC(C)CO,0.0789
CC(O)CO,0.0631
CCC(C)C,0.085
CCC(C)O,0.0733
COC(C)C,0.086
CC1(C)CC1,0.0893
CC1(C)CO1,0.091
CC1(O)CC1,0.0776
N=C1CCO1,0.0277
O=C1CCC1,-0.0194
O=C1CCN1,0.038
O=C1CCO1,0.0089
O=C1CNC1,-0.0258
O=C1COC1,-0.0352
CC1CCC1,0.0927
CC1CCO1,0.0915
CC1COC1,0.0814
OC1CCC1,0.0801
OC1COC1,0.0604
CC1CC1C,0.094
CC1CC1O,0.0822
CC1CN1C,0.0931
CC1OC1C,0.0984
OC1CC1O,0.0642
C1C2CC1C2,0.1082
C1C2CC1O2,0.0994
C#CCC#C,0.0345
C#CCC#N,0.0111
N#CCC#N,-0.0151
O=CCC#C,-0.0337
O=CCC#N,-0.0568
N=CNC=O,-0.0216
N=COC=O,-0.0298
O=CNC=O,-0.0416
CC#CC#C,-0.0085
CC#CC#N,-0.0377
CC#CC=O,-0.0592
CC#CCO,0.0368
CCC#CC,0.0631
COC=NC,0.0251
CCCC#C,0.0583
CCCC#N,0.0365
CNCC#N,0.0208
COCC#C,0.0324
COCC#N,0.008
OCCC#C,0.0549
OCCC#N,0.0323
CCCC=O,-0.0195
CCNC=O,0.0335
CCOC=O,0.0091
COCC=O,-0.0282
OCCC=O,-0.0285
CCCCC,0.0925
CCCCO,0.0813
CCCOC,0.0926
CCOCC,0.0931
COCCO,0.0821
OCCCO,0.0779
C#CC1CC1,0.0503
C#CC1CN1,0.0322
C#CC1CO1,0.0189
N#CC1CC1,0.0289
N#CC1CN1,0.0076
N#CC1CO1,-0.0072
O=CC1CC1,-0.0157
O=CC1CN1,-0.0381
O=CC1CO1,-0.0418
O=CN1CC1,-0.0013
CCC1CC1,0.0986
CCC1CO1,0.0976
CCN1CC1,0.095
COC1CC1,0.0955
OCC1CC1,0.079
OCC1CN1,0.0677
OCC1CO1,0.0777
C1CC=CC1,0.0325
C1CN=CO1,0.0241
C1OCC=C1,0.0188
C1CCCC1,0.0844
C1CCOC1,0.0825
C1COCO1,0.0865
C1C2CCC12,0.0987
C1C2COC12,0.0853
C1CC2OC12,0.0951
N1C=CC=N1,0.0239
N1C=CN=N1,-0.0023
N1C=NC=N1,0.0059
N1C=NN=C1,0.0164
N1N=CC=N1,-0.0055
O1C=CC=N1,-0.0138
O1C=CN=N1,-0.044
O1C=NC=N1,-0.0335
O1C=NN=C1,-0.0178
O1C=NN=N1,-0.0643
O1N=CC=N1,-0.0515
O1N=CN=N1,-0.0815
O1N=NN=N1,-0.1073
CC(=NO)C#C,-0.0315
CC(CO)=NO,0.0066
CCC(C)=NO,0.0173
ON=C1CCC1,0.0074
ON=C1CNC1,0.0026
ON=C1COC1,-0.0046
FC(F)(F)F,0.1935
N=C1NC=CO1,0.0288
N=C1OC=CO1,0.0118
O=C1NC=CN1,0.0406
O=C1NC=CO1,0.0207
O=C1OC=CO1,0.0027
CC1=CC=CN1,0.0496
CC1=CC=CO1,0.0239
CC1=CN=CO1,0.0066
CC1=NC=CO1,0.0082
NC1=CC=CN1,0.0556
NC1=CC=CO1,0.0397
NC1=CN=CO1,0.0202
NC1=NC=CO1,0.0284
OC1=CC=CN1,0.0635
OC1=CN=CN1,0.0448
OC1=NC=CN1,0.0505
CC1=CNC=C1,0.0533
CC1=CNC=N1,0.0376
CC1=COC=C1,0.025
CC1=COC=N1,0.0074
NC1=CNC=C1,0.0558
NC1=CNC=N1,0.0391
NC1=COC=C1,0.029
NC1=COC=N1,0.0107
OC1=CNC=C1,0.05
OC1=CNC=N1,0.0315
OC1=COC=N1,0.001
CN1C=CC=C1,0.0463
CN1C=CN=C1,0.0324
C1=CC=CC=C1,0.0029
C1=CC=NC=C1,-0.0225
C1=CN=CC=N1,-0.0511
C1=CN=CN=C1,-0.0415
C1=NC=NC=N1,-0.0554
CC(C)(C)C#C,0.0629
CC(C)(C)C#N,0.0438
CC(C)(N)C#N,0.0349
CC(C)(O)C#C,0.0425
CC(C)(O)C#N,0.0216
CC(C)(C)C=O,-0.0179
CC(C)(O)C=O,-0.0258
CC(C)(C)CO,0.0725
CC(C)(O)CO,0.0727
CCC(C)(C)C,0.0748
CCC(C)(C)O,0.0658
COC(C)(C)C,0.079
CC#CC(C)=O,-0.0449
CC#CC(N)=O,-0.016
CC#CC(C)C,0.0633
CC#CC(C)O,0.0416
CC(=O)CC#C,-0.0185
CC(=O)CC#N,-0.037
NC(=O)CC#C,0.0244
NC(=O)CC#N,0.0051
CC(=N)NC=O,-0.0177
CC(=N)OC=O,-0.0251
CC(=O)CC=O,-0.0381
CC(=O)NC=N,-0.0114
CC(=O)NC=O,-0.0298
CC(=O)OC=N,-0.0235
NC(=N)NC=O,-0.0146
NC(=O)CC=O,-0.0278
NC(=O)NC=N,0.0042
NC(=O)NC=O,-0.0128
NC(=O)OC=N,0.0024
CC(C)CC#C,0.0553
CC(C)CC#N,0.0346
CC(O)CC#C,0.0545
CC(O)CC#N,0.0348
CN(C)CC#N,0.0217
CC(C)CC=O,-0.0197
CC(C)NC=O,0.0348
CC(C)OC=O,0.0115
CC(O)CC=O,-0.0204
CN(C)CC=O,-0.0252
CC(=O)CCO,-0.0111
CCCC(C)=O,-0.0071
CCCC(N)=O,0.0359
CCNC(C)=O,0.0381
CCNC(N)=O,0.0598
CCOC(C)=O,0.0196
CCOC(N)=O,0.0591
C[NH2+]CC([O-])=O,0.0196
COCC(C)=O,-0.0102
COCC(N)=O,0.0274
NC(=O)CCO,0.0327
[NH3+]CCC([O-])=O,-0.0333
CC(C)CCO,0.0807
CC(O)CCO,0.0719
CCCC(C)C,0.0859
CCCC(C)O,0.0739
CCOC(C)C,0.0875
COCC(C)C,0.0876
COCC(C)O,0.0777
CC(=O)C(C)=O,-0.0826
CC(=O)C(N)=N,-0.0515
CC(=O)C(N)=O,-0.0632
NC(=[NH2+])C([O-])=O,-0.0376
NC(=O)C(N)=O,-0.0321
CC(C)C(C)=O,-0.0081
CC(C)C(N)=O,0.0371
CC([NH3+])C([O-])=O,0.0174
CC(O)C(C)=O,-0.0258
CC(O)C(N)=O,0.0186
CN(C)C(C)=O,0.0354
CN(C)C(N)=O,0.0604
CC(C)C(C)C,0.0822
CC(C)C(C)O,0.0684
CC(O)C(C)O,0.0643
CC1(C)CCC1,0.0812
CC1(C)CCO1,0.0812
CC1(C)COC1,0.0728
CC1(O)CCC1,0.0743
CC1(O)COC1,0.0616
CC1(C)CC1O,0.083
CC1(O)CC1O,0.0794
CC1CC1(C)C,0.0887
CC1CC1(C)O,0.0798
CC1OC1(C)C,0.0923
CN1CC1(C)C,0.0873
CC1CC(=N)O1,0.0305
CC1CC(=O)C1,-0.0163
CC1CC(=O)N1,0.0387
CC1CC(=O)O1,0.0124
CN1CC(=O)C1,-0.0233
OC1CC(=O)C1,-0.0206
CC1CC(C)C1,0.0906
CC1CC(C)O1,0.0942
CC1CC(O)C1,0.0788
CN1CC(O)C1,0.0838
OC1CC(O)C1,0.0691
CC12CC(C1)C2,0.0984
CC12CC(C1)O2,0.1012
CC12CN(C1)C2,0.0834
OC12CC(C1)C2,0.0809
