smiles,mu
C,0.0
N,1.6256
O,1.8511
C#C,0.0
C#N,2.8937
C=O,2.1089
CC,0.0
CO,1.5258
CC#C,0.7156
CC#N,3.8266
CC=O,2.5682
NC=O,3.7286
CCC,0.0597
CCO,1.4131
COC,1.1502
C1CC1,0.0005
C1CO1,1.7675
CC(C)=O,2.7362
CC(N)=O,3.6367
NC(N)=O,3.4869
CC(C)C,0.0897
CC(C)O,1.4259
C#CC#C,0.0
C#CC#N,3.792
N#CC#N,0.0023
O=CC#C,2.7824
O=CC#N,2.3112
O=CC=O,0.002
CC#CC,0.0
CCC#C,0.7067
CCC#N,3.9233
NCC#N,4.4361
OCC#C,1.7211
OCC#N,4.6788
CCC=O,2.6741
CNC=O,3.7071
COC=O,3.92
OCC=O,1.7341
CCCC,0.0
CCCO,1.3402
CCOC,1.0363
OCCO,0.0075
CC1CC1,0.1136
CC1CO1,1.812
CN1CC1,1.1353
OC1CC1,1.3894
C1CCC1,0.0
C1COC1,1.7978
CC(C)=NO,0.6875
N1C=CC=C1,1.8689
N1C=CN=C1,3.6193
O1C=CC=C1,0.5571
O1C=CN=C1,1.5081
CC(C)(C)C,0.0003
CC(C)(C)O,1.384
CC(=O)C#C,2.8579
CC(=O)C#N,3.3351
NC(=N)C#N,5.1815
NC(=O)C#C,3.7167
CC(=O)C=O,0.9461
NC(=N)C=O,2.7707
NC(=O)C=O,5.1668
CC(C)C#C,0.6578
CC(C)C#N,3.9512
CC(N)C#N,2.7429
CC(O)C#C,1.3582
CC(O)C#N,3.269
CC(C)C=O,2.6921
CC(O)C=O,2.8354
CN(C)C=O,3.7163
CC(=O)CO,2.9514
CCC(C)=O,2.6168
CCC(N)=O,3.499
CNC(C)=O,3.5402
CNC(N)=O,3.5648
COC(C)=N,1.1876
COC(C)=O,1.7569
COC(N)=O,2.329
NC(=O)CO,4.5676
[NH3+]CC([O-])=O,5.3004
CC(C)CO,1.3149
CC(O)CO,2.2854
CCC(C)C,0.0618
CCC(C)O,1.3894
COC(C)C,1.0758
CC1(C)CC1,0.1068
CC1(C)CO1,1.8235
CC1(O)CC1,1.3822
N=C1CCO1,2.5732
O=C1CCC1,2.7119
O=C1CCN1,3.6671
O=C1CCO1,3.9339
O=C1CNC1,2.5257
O=C1COC1,0.8477
CC1CCC1,0.095
CC1CCO1,1.6826
CC1COC1,1.8995
OC1CCC1,1.4604
OC1COC1,2.4158
CC1CC1C,0.1023
CC1CC1O,1.3092
CC1CN1C,1.2483
CC1OC1C,1.8159
OC1CC1O,2.4925
C1C2CC1C2,0.0002
C1C2CC1O2,1.8725
C#CCC#C,0.4777
C#CCC#N,3.5925
N#CCC#N,3.6958
O=CCC#C,2.0711
O=CCC#N,2.172
N=CNC=O,5.0884
N=COC=O,4.2338
O=CNC=O,5.2904
CC#CC#C,1.1881
CC#CC#N,5.1545
CC#CC=O,3.783
CC#CCO,1.2486
CCC#CC,0.078
COC=NC,2.9091
CCCC#C,0.7752
CCCC#N,4.0641
CNCC#N,4.1469
COCC#C,1.3623
COCC#N,4.5445
OCCC#C,1.3892
OCCC#N,3.7158
CCCC=O,2.7552
CCNC=O,3.694
CCOC=O,4.0425
COCC=O,2.7959
OCCC=O,1.4229
CCCCC,0.0603
CCCCO,1.3815
CCCOC,0.9755
CCOCC,0.9301
COCCO,2.2019
OCCCO,2.7191
C#CC1CC1,0.8635
C#CC1CN1,1.2763
C#CC1CO1,1.7013
N#CC1CC1,4.1966
N#CC1CN1,2.8377
N#CC1CO1,3.6533
O=CC1CC1,3.147
O=CC1CN1,2.03
O=CC1CO1,2.3951
O=CN1CC1,3.2517
CCC1CC1,0.095
CCC1CO1,1.7468
CCN1CC1,1.0617
COC1CC1,1.0906
OCC1CC1,1.3201
OCC1CN1,2.9395
OCC1CO1,1.7822
C1CC=CC1,0.1413
C1CN=CO1,1.6299
C1OCC=C1,1.5715
C1CCCC1,0.001
C1CCOC1,1.465
C1COCO1,1.3482
C1C2CCC12,0.2527
C1C2COC12,1.7167
C1CC2OC12,1.8518
N1C=CC=N1,2.2277
N1C=CN=N1,4.2954
N1C=NC=N1,2.79
N1C=NN=C1,5.498
N1N=CC=N1,0.0597
O1C=CC=N1,2.8629
O1C=CN=N1,3.4411
O1C=NC=N1,1.126
O1C=NN=C1,3.1035
O1C=NN=N1,2.8915
O1N=CC=N1,3.2148
O1N=CN=N1,1.9641
O1N=NN=N1,0.6581
CC(=NO)C#C,0.6411
CC(CO)=NO,1.9975
CCC(C)=NO,0.6759
ON=C1CCC1,0.8763
ON=C1CNC1,1.2383
ON=C1COC1,1.1556
FC(F)(F)F,0.0003
N=C1NC=CO1,3.2823
N=C1OC=CO1,3.6351
O=C1NC=CN1,3.6997
O=C1NC=CO1,4.6537
O=C1OC=CO1,4.4195
CC1=CC=CN1,1.9162
CC1=CC=CO1,0.5222
CC1=CN=CO1,2.0636
CC1=NC=CO1,1.3368
NC1=CC=CN1,1.5102
NC1=CC=CO1,1.5774
NC1=CN=CO1,2.9659
NC1=NC=CO1,1.8589
OC1=CC=CN1,0.9982
OC1=CN=CN1,2.938
OC1=NC=CN1,2.18
CC1=CNC=C1,1.6978
CC1=CNC=N1,3.3147
CC1=COC=C1,0.8398
CC1=COC=N1,1.3204
NC1=CNC=C1,1.8044
NC1=CNC=N1,3.0074
NC1=COC=C1,1.7218
NC1=COC=N1,1.6737
OC1=CNC=C1,1.6811
OC1=CNC=N1,2.8207
OC1=COC=N1,0.4508
CN1C=CC=C1,2.0318
CN1C=CN=C1,3.9054
C1=CC=CC=C1,0.0
C1=CC=NC=C1,2.1103
C1=CN=CC=N1,0.0
C1=CN=CN=C1,2.2031
C1=NC=NC=N1,0.0001
CC(C)(C)C#C,0.6082
CC(C)(C)C#N,3.9525
CC(C)(N)C#N,2.8519
CC(C)(O)C#C,1.7721
CC(C)(O)C#N,4.8465
CC(C)(C)C=O,2.5692
CC(C)(O)C=O,2.8176
CC(C)(C)CO,1.3469
CC(C)(O)CO,0.1987
CCC(C)(C)C,0.0414
CCC(C)(C)O,1.3435
COC(C)(C)C,1.0896
CC#CC(C)=O,3.5644
CC#CC(N)=O,4.0759
CC#CC(C)C,0.1156
CC#CC(C)O,1.89
CC(=O)CC#C,2.2729
CC(=O)CC#N,5.6789
NC(=O)CC#C,3.7732
NC(=O)CC#N,6.7117
CC(=N)NC=O,0.9105
CC(=N)OC=O,4.0954
CC(=O)CC=O,2.6833
CC(=O)NC=N,5.1423
CC(=O)NC=O,5.6602
CC(=O)OC=N,0.9137
NC(=N)NC=O,2.4787
NC(=O)CC=O,3.7344
NC(=O)NC=N,5.2585
NC(=O)NC=O,6.1119
NC(=O)OC=N,1.994
CC(C)CC#C,0.6828
CC(C)CC#N,3.9826
CC(O)CC#C,1.4348
CC(O)CC#N,4.9064
CN(C)CC#N,4.0824
CC(C)CC=O,2.7416
CC(C)NC=O,3.6603
CC(C)OC=O,4.1216
CC(O)CC=O,3.3205
CN(C)CC=O,2.7328
CC(=O)CCO,1.2601
CCCC(C)=O,2.5426
CCCC(N)=O,3.4104
CCNC(C)=O,3.4941
CCNC(N)=O,3.5648
CCOC(C)=O,1.9371
CCOC(N)=O,2.4228
C[NH2+]CC([O-])=O,5.2128
COCC(C)=O,3.6117
COCC(N)=O,4.2922
NC(=O)CCO,2.1536
[NH3+]CCC([O-])=O,14.8809
CC(C)CCO,1.3839
CC(O)CCO,0.18
CCCC(C)C,0.0898
CCCC(C)O,1.3758
CCOC(C)C,0.9735
COCC(C)C,0.9451
COCC(C)O,2.2037
CC(=O)C(C)=O,0.0005
CC(=O)C(N)=N,1.9354
CC(=O)C(N)=O,1.1652
NC(=[NH2+])C([O-])=O,8.5052
NC(=O)C(N)=O,0.0024
CC(C)C(C)=O,2.5905
CC(C)C(N)=O,3.4399
CC([NH3+])C([O-])=O,5.0933
CC(O)C(C)=O,2.9304
CC(O)C(N)=O,4.1096
