smiles,r2
C,35.3641
N,26.1563
O,19.0002
C#C,59.5248
C#N,48.7476
C=O,59.9891
CC,109.5031
CO,83.794
CC#C,177.1963
CC#N,160.7223
CC=O,166.9728
NC=O,145.3078
CCC,227.1361
CCO,193.1659
COC,187.1015
C1CC1,155.8145
C1CO1,129.891
CC(C)=O,292.4367
CC(N)=O,267.6148
NC(N)=O,244.2308
CC(C)C,355.0621
CC(C)O,318.3721
C#CC#C,278.6264
C#CC#N,260.1896
N#CC#N,242.9308
O=CC#C,268.3921
O=CC#N,251.0007
O=CC=O,266.8164
CC#CC,400.2236
CCC#C,333.9589
CCC#N,314.5335
NCC#N,295.6635
OCC#C,300.0993
OCC#N,280.6659
CCC=O,333.3276
CNC=O,279.7863
COC=O,293.917
OCC=O,303.8129
CCCC,426.2996
CCCO,382.8628
CCOC,368.9331
OCCO,297.8398
CC1CC1,298.6061
CC1CO1,267.2979
CN1CC1,270.5508
OC1CC1,263.966
C1CCC1,268.4432
C1COC1,236.9759
CC(C)=NO,452.5112
N1C=CC=C1,303.9808
N1C=CN=C1,283.6817
O1C=CC=C1,289.005
O1C=CN=C1,269.2444
CC(C)(C)C,486.2719
CC(C)(C)O,449.0573
CC(=O)C#C,416.7799
CC(=O)C#N,397.7757
NC(=N)C#N,384.5574
NC(=O)C#C,390.4619
CC(=O)C=O,399.222
NC(=N)C=O,384.4827
NC(=O)C=O,381.9882
CC(C)C#C,481.9854
CC(C)C#N,460.694
CC(N)C#N,440.0738
CC(O)C#C,444.6452
CC(O)C#N,424.3395
CC(C)C=O,482.0475
CC(O)C=O,432.1489
CN(C)C=O,441.85
CC(=O)CO,440.1727
CCC(C)=O,489.8518
CCC(N)=O,457.447
CNC(C)=O,458.9803
CNC(N)=O,428.404
COC(C)=N,443.1687
COC(C)=O,427.6606
COC(N)=O,398.5908
NC(=O)CO,418.5967
[NH3+]CC([O-])=O,408.0279
CC(C)CO,516.4357
CC(O)CO,438.3028
CCC(C)C,565.8412
CCC(C)O,521.8605
COC(C)C,507.9614
CC1(C)CC1,439.1643
CC1(C)CO1,405.521
CC1(O)CC1,401.4888
N=C1CCO1,352.0378
O=C1CCC1,379.6371
O=C1CCN1,355.0934
O=C1CCO1,336.0792
O=C1CNC1,359.152
O=C1COC1,344.5473
CC1CCC1,455.0215
CC1CCO1,407.6909
CC1COC1,414.1575
OC1CCC1,413.9118
OC1COC1,374.4087
CC1CC1C,465.3301
CC1CC1O,418.298
CC1CN1C,432.5081
CC1OC1C,432.2224
OC1CC1O,370.2795
C1C2CC1C2,328.2069
C1C2CC1O2,298.4772
C#CCC#C,470.3666
C#CCC#N,448.7393
N#CCC#N,429.0927
O=CCC#C,483.1343
O=CCC#N,464.3999
N=CNC=O,391.0845
N=COC=O,460.7073
O=CNC=O,372.7845
CC#CC#C,576.5936
CC#CC#N,553.2094
CC#CC=O,568.7849
CC#CCO,613.8892
CCC#CC,652.4812
COC=NC,567.546
CCCC#C,593.0141
CCCC#N,569.5065
CNCC#N,535.2152
COCC#C,532.4302
COCC#N,509.5881
OCCC#C,542.7424
OCCC#N,519.4529
CCCC=O,599.5103
CCNC=O,490.704
CCOC=O,510.9124
COCC=O,546.3932
OCCC=O,550.4469
CCCCC,721.0614
CCCCO,669.0122
CCCOC,647.6919
CCOCC,631.0818
COCCO,522.4181
OCCCO,618.0376
C#CC1CC1,429.6736
C#CC1CN1,408.3613
C#CC1CO1,397.8388
N#CC1CC1,407.3682
N#CC1CN1,386.5557
N#CC1CO1,376.0875
O=CC1CC1,436.2586
O=CC1CN1,363.3567
O=CC1CO1,402.0419
O=CN1CC1,383.6013
CCC1CC1,514.3053
CCC1CO1,471.3094
CCN1CC1,474.34
COC1CC1,452.0432
OCC1CC1,468.6229
OCC1CN1,445.0397
OCC1CO1,424.287
C1CC=CC1,375.5096
C1CN=CO1,315.6279
C1OCC=C1,336.0014
C1CCCC1,414.0869
C1CCOC1,374.1439
C1COCO1,333.797
C1C2CCC12,350.7167
C1C2COC12,315.0958
C1CC2OC12,317.7261
N1C=CC=N1,284.6224
N1C=CN=N1,266.8979
N1C=NC=N1,264.8693
N1C=NN=C1,266.6747
N1N=CC=N1,265.6333
O1C=CC=N1,272.9362
O1C=CN=N1,256.5774
O1C=NC=N1,253.56
O1C=NN=C1,252.7276
O1C=NN=N1,239.8863
O1N=CC=N1,256.8034
O1N=CN=N1,240.038
O1N=NN=N1,226.0123
CC(=NO)C#C,618.9851
CC(CO)=NO,639.6693
CCC(C)=NO,699.8479
ON=C1CCC1,599.0421
ON=C1CNC1,576.9778
ON=C1COC1,562.026
FC(F)(F)F,279.3208
N=C1NC=CO1,443.1895
N=C1OC=CO1,424.2581
O=C1NC=CN1,444.2644
O=C1NC=CO1,425.4583
O=C1OC=CO1,406.9334
CC1=CC=CN1,523.1127
CC1=CC=CO1,501.9826
CC1=CN=CO1,481.0455
CC1=NC=CO1,474.9666
NC1=CC=CN1,495.5949
NC1=CC=CO1,472.7151
NC1=CN=CO1,451.8468
NC1=NC=CO1,444.8744
OC1=CC=CN1,474.5019
OC1=CN=CN1,453.0651
OC1=NC=CN1,445.8144
CC1=CNC=C1,528.9258
CC1=CNC=N1,500.6403
CC1=COC=C1,512.5694
CC1=COC=N1,485.0096
NC1=CNC=C1,500.1351
NC1=CNC=N1,471.183
NC1=COC=C1,483.7409
NC1=COC=N1,455.3577
OC1=CNC=C1,480.4033
OC1=CNC=N1,450.9127
OC1=COC=N1,435.5044
CN1C=CC=C1,510.1975
CN1C=CN=C1,488.8221
C1=CC=CC=C1,456.6788
C1=CC=NC=C1,432.2254
C1=CN=CC=N1,408.933
C1=CN=CN=C1,408.2875
C1=NC=NC=N1,384.8085
CC(C)(C)C#C,624.7654
CC(C)(C)C#N,602.0353
CC(C)(N)C#N,580.9124
CC(C)(O)C#C,587.1297
CC(C)(O)C#N,564.648
CC(C)(C)C=O,611.1634
CC(C)(O)C=O,570.0556
CC(C)(C)CO,650.4504
CC(C)(O)CO,609.3369
CCC(C)(C)C,704.4105
CCC(C)(C)O,660.7696
COC(C)(C)C,644.1742
CC#CC(C)=O,786.3721
CC#CC(N)=O,756.8071
CC#CC(C)C,861.2875
CC#CC(C)O,819.2949
CC(=O)CC#C,636.8813
CC(=O)CC#N,640.5669
NC(=O)CC#C,627.6953
NC(=O)CC#N,603.7082
CC(=N)NC=O,587.7789
CC(=N)OC=O,632.4706
CC(=O)CC=O,667.8025
CC(=O)NC=N,621.2041
CC(=O)NC=O,600.473
CC(=O)OC=N,633.5112
NC(=N)NC=O,561.2611
NC(=O)CC=O,637.4959
NC(=O)NC=N,586.8385
NC(=O)NC=O,566.0758
NC(=O)OC=N,600.144
CC(C)CC#C,738.9549
CC(C)CC#N,713.1432
CC(O)CC#C,692.7907
CC(O)CC#N,674.7315
CN(C)CC#N,671.7683
CC(C)CC=O,750.1795
CC(C)NC=O,684.3066
CC(C)OC=O,712.2912
CC(O)CC=O,730.3237
CN(C)CC=O,722.1956
CC(=O)CCO,760.732
CCCC(C)=O,817.4605
CCCC(N)=O,778.0458
CCNC(C)=O,725.3315
CCNC(N)=O,719.1944
CCOC(C)=O,719.0142
CCOC(N)=O,686.248
C[NH2+]CC([O-])=O,624.3195
COCC(C)=O,743.2534
COCC(N)=O,706.1403
NC(=O)CCO,722.9054
[NH3+]CCC([O-])=O,714.9069
CC(C)CCO,850.8528
CC(O)CCO,802.5075
CCCC(C)C,906.7075
CCCC(C)O,858.1408
CCOC(C)C,814.3456
COCC(C)C,817.8428
COCC(C)O,711.2834
CC(=O)C(C)=O,581.337
CC(=O)C(N)=N,562.5203
CC(=O)C(N)=O,547.5835
NC(=[NH2+])C([O-])=O,506.6426
NC(=O)C(N)=O,513.8164
CC(C)C(C)=O,650.5524
CC(C)C(N)=O,617.1359
CC([NH3+])C([O-])=O,578.6969
CC(O)C(C)=O,606.3478
CC(O)C(N)=O,574.3293
CN(C)C(C)=O,622.3344
CN(C)C(N)=O,591.7927
CC(C)C(C)C,747.1084
CC(C)C(C)O,675.0478
CC(O)C(C)O,632.2372
CC1(C)CCC1,603.4335
CC1(C)CCO1,560.0105
CC1(C)COC1,569.1031
CC1(O)CCC1,562.0396
CC1(O)COC1,527.7516
CC1(C)CC1O,599.392
CC1(O)CC1O,557.5787
CC1CC1(C)C,649.5784
CC1CC1(C)O,607.2163
CC1OC1(C)C,616.1558
CN1CC1(C)C,612.8334
