smiles,zpve
C,0.044749
N,0.034358
O,0.021375
C#C,0.026841
C#N,0.016601
C=O,0.026603
CC,0.074542
CO,0.051208
CC#C,0.05541
CC#N,0.045286
CC=O,0.055355
NC=O,0.045279
CCC,0.103182
CCO,0.079754
COC,0.079534
C1CC1,0.081231
C1CO1,0.057289
CC(C)=O,0.083382
CC(N)=O,0.07319
NC(N)=O,0.063824
CC(C)C,0.131146
CC(C)O,0.107673
C#CC#C,0.037354
C#CC#N,0.027259
N#CC#N,0.015951
O=CC#C,0.037208
O=CC#N,0.02654
O=CC=O,0.036943
CC#CC,0.083896
CCC#C,0.084338
CCC#N,0.07419
NCC#N,0.063305
OCC#C,0.060632
OCC#N,0.050262
CCC=O,0.084175
CNC=O,0.074166
COC=O,0.061327
OCC=O,0.060508
CCCC,0.131708
CCCO,0.108241
CCOC,0.107895
OCCO,0.085172
CC1CC1,0.109284
CC1CO1,0.085275
CN1CC1,0.097671
OC1CC1,0.085106
C1CCC1,0.110511
C1COC1,0.086675
CC(C)=NO,0.100501
N1C=CC=C1,0.082433
N1C=CN=C1,0.071145
O1C=CC=C1,0.069883
O1C=CN=C1,0.058593
CC(C)(C)C,0.158836
CC(C)(C)O,0.134977
CC(=O)C#C,0.065175
CC(=O)C#N,0.05451
NC(=N)C#N,0.056619
NC(=O)C#C,0.054731
CC(=O)C=O,0.064992
NC(=N)C=O,0.067668
NC(=O)C=O,0.054577
CC(C)C#C,0.112471
CC(C)C#N,0.102281
CC(N)C#N,0.091554
CC(O)C#C,0.088908
CC(O)C#N,0.078602
CC(C)C=O,0.112328
CC(O)C=O,0.088443
CN(C)C=O,0.10227
CC(=O)CO,0.088924
CCC(C)=O,0.112006
CCC(N)=O,0.101847
CNC(C)=O,0.101735
CNC(N)=O,0.091713
COC(C)=N,0.102062
COC(C)=O,0.089436
COC(N)=O,0.079271
NC(=O)CO,0.078222
[NH3+]CC([O-])=O,0.080317
CC(C)CO,0.136209
CC(O)CO,0.11345
CCC(C)C,0.159632
CCC(C)O,0.136091
COC(C)C,0.135681
CC1(C)CC1,0.137025
CC1(C)CO1,0.112851
CC1(O)CC1,0.113237
N=C1CCO1,0.080558
O=C1CCC1,0.090544
O=C1CCN1,0.080442
O=C1CCO1,0.068574
O=C1CNC1,0.07965
O=C1COC1,0.066989
CC1CCC1,0.138424
CC1CCO1,0.11459
CC1COC1,0.114694
OC1CCC1,0.115063
OC1COC1,0.091005
CC1CC1C,0.137341
CC1CC1O,0.113827
CC1CN1C,0.125556
CC1OC1C,0.113178
OC1CC1O,0.090396
C1C2CC1C2,0.116844
C1C2CC1O2,0.092109
C#CCC#C,0.065276
C#CCC#N,0.05503
N#CCC#N,0.044642
O=CCC#C,0.065029
O=CCC#N,0.054694
N=CNC=O,0.068192
N=COC=O,0.055229
O=CNC=O,0.055704
CC#CC#C,0.065688
CC#CC#N,0.055566
CC#CC=O,0.065532
CC#CCO,0.089036
CCC#CC,0.112761
COC=NC,0.10111
CCCC#C,0.112736
CCCC#N,0.102603
CNCC#N,0.091346
COCC#C,0.088734
COCC#N,0.078474
OCCC#C,0.089329
OCCC#N,0.079045
CCCC=O,0.112697
CCNC=O,0.102695
CCOC=O,0.089832
COCC=O,0.088447
OCCC=O,0.089449
CCCCC,0.160138
CCCCO,0.136722
CCCOC,0.136321
CCOCC,0.136152
COCCO,0.113563
OCCCO,0.113242
C#CC1CC1,0.090505
C#CC1CN1,0.079399
C#CC1CO1,0.066467
N#CC1CC1,0.080403
N#CC1CN1,0.069125
N#CC1CO1,0.056139
O=CC1CC1,0.090683
O=CC1CN1,0.079887
O=CC1CO1,0.066465
O=CN1CC1,0.079595
CCC1CC1,0.137725
CCC1CO1,0.113861
CCN1CC1,0.126034
COC1CC1,0.113725
OCC1CC1,0.1143
OCC1CN1,0.103108
OCC1CO1,0.090736
C1CC=CC1,0.116471
C1CN=CO1,0.081779
C1OCC=C1,0.092218
C1CCCC1,0.140316
C1CCOC1,0.116649
C1COCO1,0.092697
C1C2CCC12,0.116089
C1C2COC12,0.091972
C1CC2OC12,0.091787
N1C=CC=N1,0.071284
N1C=CN=N1,0.059084
N1C=NC=N1,0.059902
N1C=NN=C1,0.059116
N1N=CC=N1,0.059852
O1C=CC=N1,0.058014
